"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"116","8804040401","Diamond Killifish",16,NA,976.166666666667,2488.16666666667,21,248.5,NA,0,-2,-2,-3
"117","8804040501","Goldspotted Killifish",NA,42299,20760,41393.25,3120.66666666667,296.5,3.51,0,-1,-1,-2
"118","8804040801","Flagfish",NA,NA,20,8,NA,NA,NA,0,-1,-1,-1
"119","8804080101","Western Mosquitofish",NA,NA,NA,NA,1,NA,3.22333333333333,0,-1,-8,-11
"120","8804080116","Eastern Mosquito Fish",24.6666666666667,NA,10371,12015.8333333333,10,549,3.1,0,-2,-5,-6
"121","8804080201","Sailfin Molly",13.3333333333333,84,5080.66666666667,4366,70.5,63,NA,0,-1,-2,-4
"122","8804080301","Pike Killifish",NA,NA,NA,22,NA,NA,NA,0,-2,-3,-3
"123","8804080401","Least Killifish",4,NA,76.5,38,NA,20,NA,0,-1,-1,-1
"124","8805020201","Rough Silverside",50.5,14,6854.66666666667,4683,1198,49318.6666666667,3.055,0,-1,-2,-2
"125","8805020301","Inland Silverside",NA,NA,NA,NA,NA,215.5,3.12,0,-2,-5,-6
"126","8805020304","Tidewater Silverside",NA,NA,NA,NA,NA,203.5,NA,0,-1,-1,-2
"127","8805020501","Hardhead Silverside",NA,9796.35,NA,NA,NA,NA,3.31,0,-3,-4,-5
"128","8805020801","Brook Silverside",37.5,NA,150.5,347.5,25.5,67.8333333333333,3.05,0,-2,-4,-2
"129","8805021201","Reef Silverside",NA,62.5,16.5,NA,NA,NA,NA,0,-2,-2,-3
"130","8819020101","Bluespotted Cornetfish",3,NA,5,3,NA,NA,3.98,0,-1,-4,-3
"131","8820020102","Dusky Pipefish",10821,403.333333333333,4016.33333333333,3659.66666666667,394.5,9943.91666666667,3.47,0,-1,-1,-2
"132","8820020103","Northern Pipefish",NA,NA,NA,NA,NA,1,3.22,0,-2,-4,-2
"133","8820020104","Chain Pipefish",309.5,27,3186,3505,57.5,2301.41666666667,NA,0,-1,-1,-2
"134","8820020108","Sargassum Pipefish",NA,NA,NA,NA,NA,1,NA,0,-2,-4,-4
"135","8820020109","Bull Pipefish",NA,NA,3,2,NA,16,NA,0,-1,-2,-2
"136","8820020113","Gulf Pipefish",1894.5,1222.5,20428.3333333333,13216.3333333333,604.5,5543.83333333333,3.34,0,-1,-1,-2
"137","8820020201","Lined Seahorse",109.666666666667,46.5,1039.75,724,11,458.5,NA,0,-1,-4,-2
"138","8820020205","Dwarf Seahorse",30,610.870634920635,1115.66666666667,796.483333333333,10,64.3333333333333,NA,0,-1,-1,-2
"139","8820020601","Opposum Pipefish",NA,NA,6,NA,NA,NA,NA,0,-2,-3,-6
